experiment_id,stage,status,primary_axis,baseline,candidate,primary_hypothesis,primary_metric,guardrails,seeds,dataset_sha256,evidence_id,decision,notes
HIST-CONVXL,historical,completed,scaffold,smaller recurrent baselines,ConvLSTM XL,"Temporal convolution plus recurrence learns the older state-feedback map",test_voltage_rmse_mV,"older contract; not comparable to current teacher",1,legacy,"LSTM-1997;WN-2016",supported,"Historical 17-state result; one-step voltage RMSE 0.0264 mV"
HIST-COMP-02,historical,completed,modularity,global recurrent backbone,receptor-local GRU modules,"Ontology-aligned subsystems can be partially separated",legacy_validation_metric,"older full-state-feedback contract",1,legacy,"GRU-2014",supported,"Motivates partial modularity only"
HIST-COMP-03,historical,completed,modularity,local modules,local plus global mosaic,"Some coordinates require global context",legacy_validation_metric,"older full-state-feedback contract",1,legacy,"GRU-2014",supported,"Coordinate 8 contradicted total autonomy"
GOV-00,governance,completed,integrity,none,data contract,"Fix dataset identity and trajectory-disjoint evaluation",none,"test closed",0,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,,supported,"Canonical runtime dataset hash"
GOV-01,governance,completed,integrity,none,research operating system,"Make hypotheses decisions and stopping rules auditable",canonical_validation,"no scientific claim",0,not_applicable,,supported,"Master plan graph ledgers catalogs validator and workbook"
FA-00,diagnosis,completed,measurement,GRU-MSE checkpoint,none,"Map where the current surrogate fails before changing it",none,"read-only; validation only",0,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"RQA-1987;LL-2018",supported,"102 teacher spikes and zero predictions; high-frequency power almost absent"
LO-01,ablation,completed,loss,GRU-MSE,GRU-MSE+MRSTFT,"Broadband objective alone recovers rare fast transitions",validation_event_soma_rmse_mV,"global and slow NRMSE <=110% baseline; subthreshold <=125%",1,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MRSTFT-2019;STFT-2018",rejected,"Event RMSE -0.19%; 0/102 spikes; global -6.1%; slow -11.4%; synaptic NRMSE +45.6%; archive SHA256 A65BE161AE9C78426336004A80B0E9716DCF42DEC9F1C0D84057770B62D76669"
SC-01,discovery,completed,scaffold,GRU,CausalConv1d+GRU,"A 7.5 ms causal dilated frontend exposes the missing fast structure",validation_event_soma_rmse_mV,"global slow and subthreshold <=110% baseline",1,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"WN-2016;GRU-2014",rejected,"Scoped rejection: global +58.5%; slow +66.6%; subthreshold +56.1%; 0 spikes"
INT-01,ablation,completed,interaction,GRU-MSE,CausalConv1d+GRU with MRSTFT,"The causal frontend helps only when broadband fidelity is rewarded",validation_event_soma_rmse_mV,"same factorial guardrails",1,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"MRSTFT-2019;WN-2016",rejected,"Difference-in-differences gives negligible event gain and guardrails fail"
DG-01,diagnosis,completed,loss_geometry,four frozen factorial checkpoints,Loss Landscape Observatory,"Imbalance gradient conflict or basin geometry distinguishes the collapse mechanism",regime_gradient_cosine,"read-only; validation only; no test",0,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"LL-2018;HESS-2017;PCGRAD-2020",supported,"Archive SHA256 195BC64B360114527398CC06562E78DB4461DDE3489972D5568664BD55EE4540; imbalance and exposure supported diagnostically; universal conflict weakened; DG-02 required before training"
DG-02,diagnosis,completed,representation,four frozen factorial checkpoints,Activation and Gradient Atlas,"Broad event support is represented but exact phase/amplitude is inaccessible",event_phase_probe,"read-only; validation only",0,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"LL-2018",supported,"Archive SHA256 E06370B5437321AB4C67463D2F82B79B315E53A2737F5C44DB8EA7BB3EC3C58E; information_contract_or_scaffold selected; hidden support AUROC 0.879; phase corr 0.111; residual probes worsen baseline; test closed"
TR-01,ablation,blocked,sampling,uniform exposure,matched event exposure,"Too few event-centred optimizer updates cause mean collapse",event_recall,"equal total updates; global slow synaptic guardrails",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"BMSE-2022",pending,"DG-01 authorization signature met: actual event update share tiny while equal-count event-gradient SNR is usable; wait for DG-02"
LO-02,ablation,blocked,loss,normalized MSE,Balanced MSE,"Imbalanced continuous targets bias the predictor toward dense subthreshold values",event_peak_amplitude_error,"fixed scaffold sampler optimizer updates",3,1fd0eaf7ffc6bbd5e8eb2db64ba4bcc67289048ef0be9367760088ff1739a3bf,"BMSE-2022",pending,"Authorized only by imbalance signature from DG-01"
