evidence_id,experiment_id,status,primary_source,year,architecture_or_method,claimed_mechanism,transfer_prediction,important_difference,decision_after_result
RQA-1987,FA-00,accepted,https://doi.org/10.1209/0295-5075/4/9/004,1987,recurrence plot,"visualizes recurrences of dynamical trajectories","teacher and surrogate should share recurrence structure","observed coordinates are not a proved minimal embedding",retained_as_diagnostic
LL-2018,DG-01,accepted,https://proceedings.neurips.cc/paper_files/paper/2018/hash/a41b3bb3e6b050b6c9067c67f663b915-Abstract.html,2018,filter-normalized landscape visualization,"makes perturbation directions more comparable","regime losses may have distinguishable local geometry","slices remain parameterization- and direction-dependent",preregistered
HESS-2017,DG-01,accepted,https://arxiv.org/abs/1611.07476,2017,Hessian eigenspectrum analysis,"relates large-batch generalization and sharp directions","top eigenvalues and trace can distinguish local curvature","curvature is local and parameterization-dependent",preregistered
PCGRAD-2020,"DG-01;LO-04",watch,https://arxiv.org/abs/2001.06782,2020,gradient surgery,"projects conflicting task gradients","use only if state-family gradients show stable negative cosine","state families are losses over one physical task not independent tasks",await_diagnosis
WN-2016,"SC-01;SC-02",accepted,https://arxiv.org/abs/1609.03499,2016,dilated causal Conv1d,"expands temporal receptive field efficiently","frontend may expose short multiscale patterns","our composition is not a WaveNet stack",scoped_rejection_for_7_5ms_frontend
GRU-2014,"SC-01;SR-01",accepted,https://arxiv.org/abs/1412.3555,2014,GRU,"gated causal sequence memory","strong smooth-dynamics baseline and state-feedback control","paper does not establish the Hay composition",baseline_retained
LSTM-1997,SC-02,accepted,https://doi.org/10.1162/neco.1997.9.8.1735,1997,LSTM,"separate gated cell state supports long credit assignment","may preserve slow state while handling fast input","fixed-dt continuous trajectories have no natural sequence reset",planned_capability_screen
CFC-2022,SC-03,accepted,https://doi.org/10.1038/s42256-022-00556-7,2022,CfC,"closed-form explicit-time continuous recurrent dynamics","may represent mixed timescales efficiently","fixed dt exercises only part of the continuous-time benefit",planned_capability_screen
LTC-2021,SC-04,accepted,https://doi.org/10.1609/aaai.v35i9.16936,2021,LTC,"state/input-dependent time constants","may allocate distinct effective timescales","solver settings and cost confound comparisons",planned_capability_screen
SAM-2020,"RG-01;OP-01",watch,https://arxiv.org/abs/2010.01412,2020,sharpness-aware minimization,"optimizes neighborhood sharpness","test only if sharpness and instability are measured","not specific to dynamical rollout and doubles work",blocked_by_DG_01
SWA-2018,OP-01,watch,https://arxiv.org/abs/1803.05407,2018,stochastic weight averaging,"averages weights along an optimization trajectory","may improve a connected flat basin","cannot repair missing representation or event exposure",blocked_by_DG_01
MRSTFT-2019,"LO-01;INT-01",accepted,https://arxiv.org/abs/1910.11480,2019,multi-resolution STFT loss,"matches time-frequency magnitude at several resolutions","should penalize high-frequency collapse","audio source domain and no event-amplitude guarantee",helpful_slow_but_insufficient_for_spikes
STFT-2018,LO-01,accepted,https://arxiv.org/abs/1810.11945,2018,STFT spectral loss,"differentiable spectral waveform objective","can restore broadband trajectories with MSE","magnitude terms may ignore exact phase",insufficient_for_spikes
BMSE-2022,"TR-01;LO-02",accepted,https://openaccess.thecvf.com/content/CVPR2022/html/Ren_Balanced_MSE_for_Imbalanced_Visual_Regression_CVPR_2022_paper.html,2022,Balanced MSE,"corrects target-density imbalance in continuous regression","may reduce conditional-mean collapse of rare voltage extremes","vision setting and target density is multivariate/time-dependent here",await_DG_01
TCN-2018,CB-01,accepted,https://arxiv.org/abs/1803.01271,2018,temporal convolutional network,"finite causal receptive field with residual convolutions","tests local event localization without recurrent state","full Hay dynamics may exceed a fixed receptive field",planned_capability_screen
S4-2021,"CB-01;SC-05",accepted,https://arxiv.org/abs/2111.00396,2021,S4,"structured state-space long convolution","may preserve long memory and stable fast-slow responses","original tasks differ and implementation complexity must be controlled",planned_capability_screen
MAMBA-2023,SC-07,watch,https://arxiv.org/abs/2312.00752,2023,selective state-space model,"input-dependent state-space selection","may help only if content-dependent selection is missing","larger modern implementation can confound capacity",conditional_after_S4
NODE-2018,SC-06,accepted,https://proceedings.neurips.cc/paper/2018/hash/69386f6bb1dfed68692a24c8686939b9-Abstract.html,2018,Neural ODE,"learned vector field integrated continuously","matches a physical-state flow prior","spike inputs are discontinuous controls and solver cost matters",planned_with_explicit_control_contract
NCDE-2020,SC-06,watch,https://proceedings.neurips.cc/paper/2020/hash/4a5876b450b45371f6cfe5047ac8cd45-Abstract.html,2020,Neural CDE,"hidden dynamics driven by a control path","useful if irregular timing or continuous controls enter the task","current fixed-dt binary event bins weaken its unique advantage",conditional
MPNN-2017,"CB-02;SP-01",accepted,https://proceedings.mlr.press/v70/gilmer17a.html,2017,message-passing neural network,"shared node updates and edge messages","matches four-compartment local coupling","fixed known morphology is tiny and monolithic capacity control is essential",planned_capability_screen
MOE-2017,HY-01,watch,https://arxiv.org/abs/1701.06538,2017,sparse mixture of experts,"conditional specialized computation","may separate rare transition and common regimes","previous router success did not imply a capable correction expert",blocked_until_expert_capability
CW-RNN-2014,HY-02,watch,https://arxiv.org/abs/1402.3511,2014,clockwork recurrent neural network,"modules update at distinct periods","may reflect measured slow-fast separation","hard periods may mismatch state-dependent biological timescales",conditional
